epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,298.865,1.86469,1.76609,1.4535,0.72205,0.58031,0.56619,0.3604,2.29586,1.86197,1.46957,0.00324719,0.0010824,0.00324719,0.0010824,0.00324719,0.0010824,0.00324719,0.0010824
51,304.799,1.46025,1.51567,1.17756,0.72205,0.58031,0.56619,0.3604,2.29586,1.86197,1.46957,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532
52,320.313,1.79211,1.61409,1.33679,0.72205,0.58031,0.56619,0.3604,2.29586,1.86197,1.46957,0.00320475,0.00106825,0.00320475,0.00106825,0.00320475,0.00106825,0.00320475,0.00106825
53,323.778,1.47705,1.44314,1.30142,0.72205,0.58031,0.56619,0.3604,2.29586,1.86197,1.46957,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118
54,332.569,1.49247,1.52097,1.22051,0.8285,0.58661,0.67202,0.37351,2.04954,1.70652,1.26358,0.00316231,0.0010541,0.00316231,0.0010541,0.00316231,0.0010541,0.00316231,0.0010541
55,344.967,1.92763,1.6652,1.39184,0.8285,0.58661,0.67202,0.37351,2.04954,1.70652,1.26358,0.00314108,0.00104703,0.00314108,0.00104703,0.00314108,0.00104703,0.00314108,0.00104703
56,349.167,1.31569,1.49262,1.19268,0.8285,0.58661,0.67202,0.37351,2.04954,1.70652,1.26358,0.00311986,0.00103995,0.00311986,0.00103995,0.00311986,0.00103995,0.00311986,0.00103995
57,357.223,1.53086,1.55937,1.21299,0.8285,0.58661,0.67202,0.37351,2.04954,1.70652,1.26358,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288
58,366.8,1.50896,1.47554,1.28511,0.65046,0.62698,0.60087,0.35336,1.93996,1.71997,1.23736,0.00307742,0.00102581,0.00307742,0.00102581,0.00307742,0.00102581,0.00307742,0.00102581
59,370.574,2.12169,1.92625,1.45315,0.65046,0.62698,0.60087,0.35336,1.93996,1.71997,1.23736,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873
60,375.799,1.79462,1.73941,1.33017,0.65046,0.62698,0.60087,0.35336,1.93996,1.71997,1.23736,0.00303498,0.00101166,0.00303498,0.00101166,0.00303498,0.00101166,0.00303498,0.00101166
